Name,Make,Model,Odometer,Body_type,Transmission,Auctioneer,Link_to_auction,Unique_identifers,Hours_to_auction,State,Build_Date,Fuel
BMW 3 SERIES 330I M SPORT G20 RWD,BMW,3,"92,502",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2956776/2019-bmw-3-series-330i-m-sport-g20?filterid=2442542442,"2019 BMW 3 SERIES 330I M SPORT G20 RWD BMW 92,502",0,QLD,2019,PETROL
TOYOTA CAMRY ASCENT SPORT AXVH71R FWD,TOYOTA,CAMRY,"30,339",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2983824/2019-toyota-camry-ascent-sport-axvh71r?filterid=2442542442,"2019 TOYOTA CAMRY ASCENT SPORT AXVH71R FWD TOYOTA 30,339",0,QLD,2019,HYBRID
JEEP COMPASS SUMMIT E-HYBRID MV MY24 FWD,JEEP,COMPASS,"4,418",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2982398/2024-jeep-compass-summit-e-hybrid-mv-my24?filterid=2442542442,"2024 JEEP COMPASS SUMMIT E-HYBRID MV MY24 FWD JEEP 4,418",0,QLD,2024,PETROL
SUBARU OUTBACK AWD TOURING B7A MY22 4WD,SUBARU,OUTBACK,"72,250",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984341/2022-subaru-outback-awd-touring-b7a-my22?filterid=2442542442,"2022 SUBARU OUTBACK AWD TOURING B7A MY22 4WD SUBARU 72,250",0,QLD,2022,PETROL
RENAULT MEGANE GT BFB FWD,RENAULT,MEGANE,"87,267",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2981097/2018-renault-megane-gt-bfb?filterid=2442542442,"2018 RENAULT MEGANE GT BFB FWD RENAULT 87,267",0,QLD,2018,PETROL
BMW 3 SERIES 320I M SPORT G20 RWD,BMW,3,"165,997",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2983807/2020-bmw-3-series-320i-m-sport-g20?filterid=2442542442,"2020 BMW 3 SERIES 320I M SPORT G20 RWD BMW 165,997",0,QLD,2020,PETROL
MAZDA BT-50 XTR DUAL CAB TFS40J 4WD,MAZDA,BT-50,"46,701",UTILITY,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2953932/2023-mazda-bt-50-xtr-dual-cab-tfs40j?filterid=2442542442,"2023 MAZDA BT-50 XTR DUAL CAB TFS40J 4WD MAZDA 46,701",0,QLD,2023,DIESEL
HYUNDAI IMAX ACTIVE TQ4 MY20 RWD,HYUNDAI,IMAX,"156,897",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2979552/2019-hyundai-imax-active-tq4-my20?filterid=2442542442,"2019 HYUNDAI IMAX ACTIVE TQ4 MY20 RWD HYUNDAI 156,897",0,QLD,2019,DIESEL
TOYOTA LANDCRUISER PRADO GXL KDJ150R 4WD,TOYOTA,LANDCRUISER,"281,707",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987529/2010-toyota-landcruiser-prado-gxl-kdj150r?filterid=2442542442,"2010 TOYOTA LANDCRUISER PRADO GXL KDJ150R 4WD TOYOTA 281,707",0,QLD,2010,DIESEL
TOYOTA HILUX SR DUAL CAB GUN126R 4WD,TOYOTA,HILUX,"195,518",UTILITY,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2972019/2018-toyota-hilux-sr-dual-cab-gun126r?filterid=2442542442,"2018 TOYOTA HILUX SR DUAL CAB GUN126R 4WD TOYOTA 195,518",0,QLD,2018,DIESEL
